Country,State ,City,Station,Last_Update,Latitude,Longitude,Pollutant_ID,Pollutant_Min,Pollutant_Max,Pollutant_Avg,Pollution Range,Pollution Category
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-02-2026 14:00,16.554731,80.64911,NO2,15,22,16,7,Good
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-02-2026 14:00,16.554731,80.64911,NH3,4,6,5,2,Good
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",05-02-2026 14:00,16.554731,80.64911,SO2,15,23,19,8,Good
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",05-02-2026 14:00,17.72,83.3,PM10,125,282,147,157,Poor
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",05-02-2026 14:00,17.72,83.3,CO,15,64,28,49,Good
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",05-02-2026 14:00,27.103358,93.679645,NH3,1,1,1,0,Good
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-02-2026 14:00,26.071318,91.87488,PM2.5,91,241,144,150,Poor
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",05-02-2026 14:00,26.071318,91.87488,PM10,68,119,90,51,Moderate
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",05-02-2026 14:00,26.181742,91.78063,CO,2,38,5,36,Good
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-02-2026 14:00,26.349082,92.68449,PM2.5,87,277,159,190,Poor
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-02-2026 14:00,26.349082,92.68449,PM10,91,157,120,66,Poor
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-02-2026 14:00,26.349082,92.68449,NO2,1,1,1,0,Good
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",05-02-2026 14:00,26.349082,92.68449,NH3,4,4,4,0,Good
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-02-2026 14:00,26.446912,91.439057,PM2.5,NA,NA,NA,0,Severe
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-02-2026 14:00,26.446912,91.439057,NO2,NA,NA,NA,0,Severe
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",05-02-2026 14:00,26.446912,91.439057,OZONE,15,15,15,0,Good
India,Assam,Silchar,"Tarapur, Silchar - PCBA",05-02-2026 14:00,24.82827,92.79525,CO,18,100,39,82,Good
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",05-02-2026 14:00,16.9872867,81.7363176,SO2,9,29,15,20,Good
